"","x"
"1",7.42634838843461
"2",8.79264228315825
"3",7.5599679737867
"4",8.53358871914187
"5",10.1647584185824
"6",8.52370993157975
"7",9.2204440296958
"8",8.50611852999416
"9",7.50485638301812
"10",10.5511889765703
"11",12.4945735552642
"12",9.86420054450618
"13",6.2967889980162
"14",6.88238245606466
"15",13.7017278870627
"16",9.168056477494
"17",7.14397293742125
"18",7.38743529447651
"19",9.00430525133289
"20",7.19232783220568
"21",14.2511717654726
"22",7.10205194755783
"23",11.9020757773199
"24",9.21055965749978
"25",7.65678023748444
"26",9.41884433769467
"27",5.35003976402288
"28",13.2242167094129
"29",9.97272649331805
"30",6.76661857523893
"31",9.77013773378521
"32",12.0252023075153
"33",10.3735215550954
"34",9.37733047494785
"35",8.64662502753714
"36",11.8969247983049
"37",7.9066142781808
"38",11.4492357367099
"39",10.043342832964
"40",10.3691625584524
"41",10.0912148884896
"42",12.1188006939327
"43",10.9174178859044
"44",9.21334649980335
"45",12.3823269067969
"46",9.98470988100877
"47",11.6252403535765
"48",7.51079563980073
"49",8.0257267247421
"50",11.0621651631171
"51",8.48995825787362
"52",13.071152670028
"53",8.00273148795455
"54",8.15851103803918
"55",11.2425224177715
"56",10.990919407146
"57",9.3381094937843
"58",7.98260318188286
"59",9.31358628996549
"60",10.9568179815593
"61",10.529281137599
"62",9.38149234266844
"63",8.91007278442885
"64",11.6674618696553
"65",11.6127515185133
"66",10.5879765927533
"67",8.55023342895721
"68",8.1016543974957
"69",11.2548476289314
"70",7.31308071496899
"71",10.5394379456332
"72",9.0219395933772
"73",10.0434601866936
"74",9.9399016599319
"75",7.9939563028395
"76",9.02521673023495
"77",11.1227524245901
"78",10.4353483588248
"79",8.51446187683236
"80",10.6102631041859
"81",7.25785828330274
"82",7.5059748014649
"83",9.70258182393133
"84",10.9487214624865
"85",8.76124078900485
"86",6.94827027479027
"87",11.8557532248907
"88",8.50584724605603
"89",9.5291269271992
"90",6.83066016029846
"91",9.4307242672956
"92",10.1923890234644
"93",7.67216913010371
"94",14.0446622337764
"95",12.3353741606311
"96",5.70256007017242
"97",6.93088687836394
"98",10.9233805332289
"99",5.5525315940816
"100",8.78519655818362
"101",9.92889780002394
"102",7.13373987270416
"103",6.28028333936848
"104",8.83393788934742
"105",13.8399649319856
"106",10.0494085986468
"107",8.82265275962004
